Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,Publisher,"Mostly reviews, perspectives, comments, opinions"
Nature Reviews Earth & Environment,NAT REV EARTH ENV,N/A,2662-138X,ENVIRONMENTAL SCIENCES - SCIE,"4,599",42.1,SPRINGERNATURE,TRUE
Energy & Environmental Science,ENERG ENVIRON SCI,1754-5692,1754-5706,ENVIRONMENTAL SCIENCES - SCIE,"107,998",32.5,ROYAL SOC CHEMISTRY,
Nature Climate Change,NAT CLIM CHANGE,1758-678X,1758-6798,ENVIRONMENTAL SCIENCES - SCIE,"45,022",30.7,NATURE PORTFOLIO,
Nature Sustainability,NAT SUSTAIN,2398-9629,2398-9629,ENVIRONMENTAL SCIENCES - SCIE,"14,346",27.6,NATURE PORTFOLIO,
Lancet Planetary Health,LANCET PLANET HEALTH,N/A,2542-5196,ENVIRONMENTAL SCIENCES - SCIE,"6,220",25.7,ELSEVIER SCI LTD,
Annual Review of Environment and Resources,ANNU REV ENV RESOUR,1543-5938,1545-2050,ENVIRONMENTAL SCIENCES - SCIE,"6,750",16.4,ANNUAL REVIEWS,TRUE
One Earth,ONE EARTH,2590-3330,2590-3322,ENVIRONMENTAL SCIENCES - SCIE,"3,916",16.2,ELSEVIER,
Environmental Chemistry Letters,ENVIRON CHEM LETT,1610-3653,1610-3661,ENVIRONMENTAL SCIENCES - SCIE,"14,047",15.7,SPRINGER HEIDELBERG,
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,1569-1705,1572-9826,ENVIRONMENTAL SCIENCES - SCIE,"5,188",14.4,SPRINGER,TRUE
JOURNAL OF HAZARDOUS MATERIALS,J HAZARD MATER,0304-3894,1873-3336,ENVIRONMENTAL SCIENCES - SCIE,"208,427",13.6,ELSEVIER,
REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,0034-4257,1879-0704,ENVIRONMENTAL SCIENCES - SCIE,"89,316",13.5,ELSEVIER SCIENCE INC,
RESOURCES CONSERVATION AND RECYCLING,RESOUR CONSERV RECY,0921-3449,1879-0658,ENVIRONMENTAL SCIENCES - SCIE,"44,781",13.2,ELSEVIER,
WATER RESEARCH,WATER RES,0043-1354,1879-2448,ENVIRONMENTAL SCIENCES - SCIE,"144,183",12.8,PERGAMON-ELSEVIER SCIENCE LTD,
Biochar,BIOCHAR,2524-7972,2524-7867,ENVIRONMENTAL SCIENCES - SCIE,"1,899",12.7,SPRINGER SINGAPORE PTE LTD,
Environmental Science and Ecotechnology,ENVIRON SCI ECOTECH,2666-4984,2666-4984,ENVIRONMENTAL SCIENCES - SCIE,"1,071",12.6,ELSEVIER,
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,CRIT REV ENV SCI TEC,1064-3389,1547-6537,ENVIRONMENTAL SCIENCES - SCIE,"11,639",12.6,TAYLOR & FRANCIS INC,TRUE
ENVIRONMENT INTERNATIONAL,ENVIRON INT,0160-4120,1873-6750,ENVIRONMENTAL SCIENCES - SCIE,"64,072",11.8,PERGAMON-ELSEVIER SCIENCE LTD,
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,1354-1013,1365-2486,ENVIRONMENTAL SCIENCES - SCIE,"67,135",11.6,WILEY,
npj Clean Water,NPJ CLEAN WATER,2059-7037,2059-7037,ENVIRONMENTAL SCIENCES - SCIE,"1,884",11.4,NATURE PORTFOLIO,
ENVIRONMENTAL SCIENCE & TECHNOLOGY,ENVIRON SCI TECHNOL,0013-936X,1520-5851,ENVIRONMENTAL SCIENCES - SCIE,"249,801",11.4,AMER CHEMICAL SOC,
Trends in Environmental Analytical Chemistry,TRENDS ENVIRON ANAL,2214-1588,2214-1588,ENVIRONMENTAL SCIENCES - SCIE,"1,486",11.2,ELSEVIER,
Journal of Cleaner Production,J CLEAN PROD,0959-6526,1879-1786,ENVIRONMENTAL SCIENCES - SCIE,"295,285",11.1,ELSEVIER SCI LTD,
Environmental Science & Technology Letters,ENVIRON SCI TECH LET,2328-8930,N/A,ENVIRONMENTAL SCIENCES - SCIE,"9,320",10.9,AMER CHEMICAL SOC,
ENVIRONMENTAL HEALTH PERSPECTIVES,ENVIRON HEALTH PERSP,0091-6765,1552-9924,ENVIRONMENTAL SCIENCES - SCIE,"44,887",10.4,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,1540-9295,1540-9309,ENVIRONMENTAL SCIENCES - SCIE,"13,393",10.3,WILEY,
Science of The Total Environment,SCI TOTAL ENVIRON,0048-9697,1879-1026,ENVIRONMENTAL SCIENCES - SCIE,"372,214",9.8,ELSEVIER,
Energy Policy,ENERG POLICY,0301-4215,1873-6777,ENVIRONMENTAL SCIENCES - SCIE,"71,939",9,ELSEVIER SCI LTD,
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,0959-3780,1872-9495,ENVIRONMENTAL SCIENCES - SCIE,"24,808",8.9,ELSEVIER SCI LTD,
ENVIRONMENTAL POLLUTION,ENVIRON POLLUT,0269-7491,1873-6424,ENVIRONMENTAL SCIENCES - SCIE,"126,613",8.9,ELSEVIER SCI LTD,
Chemosphere,CHEMOSPHERE,0045-6535,1879-1298,ENVIRONMENTAL SCIENCES - SCIE,"190,893",8.8,PERGAMON-ELSEVIER SCIENCE LTD,
Journal of Environmental Management,J ENVIRON MANAGE,0301-4797,1095-8630,ENVIRONMENTAL SCIENCES - SCIE,"99,689",8.7,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,
ENVIRONMENTAL RESEARCH,ENVIRON RES,0013-9351,1096-0953,ENVIRONMENTAL SCIENCES - SCIE,"58,236",8.3,ACADEMIC PRESS INC ELSEVIER SCIENCE,
Earths Future,EARTHS FUTURE,N/A,2328-4277,ENVIRONMENTAL SCIENCES - SCIE,"6,849",8.2,AMER GEOPHYSICAL UNION,
Wiley Interdisciplinary Reviews-Water,WIRES WATER,2049-1948,2049-1948,ENVIRONMENTAL SCIENCES - SCIE,"3,814",8.2,WILEY,TRUE
Waste Management,WASTE MANAGE,0956-053X,1879-2456,ENVIRONMENTAL SCIENCES - SCIE,"51,084",8.1,PERGAMON-ELSEVIER SCIENCE LTD,
Communications Earth & Environment,COMMUN EARTH ENVIRON,N/A,2662-4435,ENVIRONMENTAL SCIENCES - SCIE,"2,737",7.9,SPRINGERNATURE,
Ecosystem Services,ECOSYST SERV,2212-0416,2212-0416,ENVIRONMENTAL SCIENCES - SCIE,"11,024",7.6,ELSEVIER,
Water Research X,WATER RES X,N/A,2589-9147,ENVIRONMENTAL SCIENCES - SCIE,900,7.5,ELSEVIER,
Advances in Climate Change Research,ADV CLIM CHANG RES,1674-9278,1674-9278,ENVIRONMENTAL SCIENCES - SCIE,"2,302",7.4,KEAI PUBLISHING LTD,
Current Pollution Reports,CURR POLLUT REP,2198-6592,2198-6592,ENVIRONMENTAL SCIENCES - SCIE,"1,943",7.3,SPRINGER HEIDELBERG,
Environmental Science-Nano,ENVIRON SCI-NANO,2051-8153,2051-8161,ENVIRONMENTAL SCIENCES - SCIE,"12,512",7.3,ROYAL SOC CHEMISTRY,
Environmental Innovation and Societal Transitions,ENVIRON INNOV SOC TR,2210-4224,2210-4232,ENVIRONMENTAL SCIENCES - SCIE,"4,763",7.2,ELSEVIER,
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,1093-7404,1521-6950,ENVIRONMENTAL SCIENCES - SCIE,"2,313",7.2,TAYLOR & FRANCIS INC,TRUE
Current Opinion in Environmental Sustainability,CURR OPIN ENV SUST,1877-3435,1877-3443,ENVIRONMENTAL SCIENCES - SCIE,"7,971",7.2,ELSEVIER SCI LTD,TRUE
Environmental Technology & Innovation,ENVIRON TECHNOL INNO,2352-1864,2352-1864,ENVIRONMENTAL SCIENCES - SCIE,"12,879",7.1,ELSEVIER,
ECOLOGICAL ECONOMICS,ECOL ECON,0921-8009,1873-6106,ENVIRONMENTAL SCIENCES - SCIE,"36,381",7,ELSEVIER,
Journal of Environmental Informatics,J ENVIRON INFORM,1726-2135,1684-8799,ENVIRONMENTAL SCIENCES - SCIE,868,7,INT SOC ENVIRON INFORM SCI,
Ecological Indicators,ECOL INDIC,1470-160X,1872-7034,ENVIRONMENTAL SCIENCES - SCIE,"52,233",6.9,ELSEVIER,
Journal of Environmental Sciences,J ENVIRON SCI,1001-0742,1878-7320,ENVIRONMENTAL SCIENCES - SCIE,"21,628",6.9,SCIENCE PRESS,
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ECOTOX ENVIRON SAFE,0147-6513,1090-2414,ENVIRONMENTAL SCIENCES - SCIE,"60,092",6.8,ACADEMIC PRESS INC ELSEVIER SCIENCE,