Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,TOP Factor Data (If exists),TOP Factor Code (If exists)
Energy & Environmental Science,ENERG ENVIRON SCI,1754-5692,1754-5706,ENVIRONMENTAL SCIENCES - SCIE,"113,198",39.714,Q1,5.24,18.96%,,
Nature Reviews Earth & Environment,NAT REV EARTH ENV,N/A,2662-138X,ENVIRONMENTAL SCIENCES - SCIE,"1,942",37.214,Q1,3.66,0%,,
Nature Climate Change,NAT CLIM CHANGE,1758-678X,1758-6798,ENVIRONMENTAL SCIENCES - SCIE,"43,972",28.862,Q1,5.06,1.44%,1,1
Lancet Planetary Health,LANCET PLANET HEALTH,N/A,2542-5196,ENVIRONMENTAL SCIENCES - SCIE,"4,794",28.75,Q1,4,92.41%,,
Nature Sustainability,NAT SUSTAIN,2398-9629,2398-9629,ENVIRONMENTAL SCIENCES - SCIE,"10,711",27.157,Q1,3.86,4.95%,1,1
Annual Review of Environment and Resources,ANNU REV ENV RESOUR,1543-5938,1545-2050,ENVIRONMENTAL SCIENCES - SCIE,"6,873",17.909,Q1,1.21,94.83%,,
One Earth,ONE EARTH,2590-3330,2590-3322,ENVIRONMENTAL SCIENCES - SCIE,"2,215",14.944,Q1,1.7,55.69%,,
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,1569-1705,1572-9826,ENVIRONMENTAL SCIENCES - SCIE,"5,185",14.284,Q1,0.96,16.22%,,
JOURNAL OF HAZARDOUS MATERIALS,J HAZARD MATER,0304-3894,1873-3336,ENVIRONMENTAL SCIENCES - SCIE,"187,102",14.224,Q1,1.94,3.28%,0,0
REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,0034-4257,1879-0704,ENVIRONMENTAL SCIENCES - SCIE,"86,103",13.85,Q1,2.41,25.32%,0,0
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,1540-9295,1540-9309,ENVIRONMENTAL SCIENCES - SCIE,"15,215",13.789,Q1,1.85,41.24%,,
RESOURCES CONSERVATION AND RECYCLING,RESOUR CONSERV RECY,0921-3449,1879-0658,ENVIRONMENTAL SCIENCES - SCIE,"37,861",13.716,Q1,1.63,13.92%,,
Trends in Environmental Analytical Chemistry,TRENDS ENVIRON ANAL,2214-1588,2214-1588,ENVIRONMENTAL SCIENCES - SCIE,"1,154",13.622,Q1,1.1,9.30%,,
Environmental Chemistry Letters,ENVIRON CHEM LETT,1610-3653,1610-3661,ENVIRONMENTAL SCIENCES - SCIE,"10,791",13.615,Q1,0.92,6.39%,,
WATER RESEARCH,WATER RES,0043-1354,1879-2448,ENVIRONMENTAL SCIENCES - SCIE,"148,888",13.4,Q1,2.13,11.09%,2,0